"Contents","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21"
"Table 5c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ratio of median house price (existing dwellings) to median gross annual (where available) residence-based earnings by local authority district, England and Wales, 2002 to 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Region code","Region name","Local authority code","Local authority name","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"E12000001","North East","E06000047","County Durham",":",":",":",":",":",":","4.6500000000000004","4.3600000000000003","4.4900000000000002","4.1100000000000003","3.8999999999999999","3.9500000000000002","4.0499999999999998","4.0300000000000002","4","3.9900000000000002","3.9900000000000002"
"E12000001","North East","E06000005","Darlington","3.1899999999999999","3.71","4.8200000000000003","5.3600000000000003","5.7300000000000004","5.4400000000000004","5.6799999999999997","5.3499999999999996","5.3600000000000003","5.1200000000000001","5.0800000000000001","5.1200000000000001","4.5700000000000003","4.8600000000000003","4.6299999999999999","4.7000000000000002","4.9199999999999999"
"E12000001","North East","E06000001","Hartlepool","2.3700000000000001","2.4700000000000002","2.5600000000000001","2.7400000000000002","3.9399999999999999","4.5099999999999998","4.3600000000000003","3.5899999999999999","4.2300000000000004","4.04","3.6899999999999999","4.5","4.1299999999999999","4.2000000000000002","4.2400000000000002","4.4100000000000001","4.0899999999999999"
"E12000001","North East","E06000002","Middlesbrough","2.71","2.5899999999999999","3.46","3.7999999999999998","4.8200000000000003","5.0999999999999996","4.3499999999999996","4.7999999999999998","4.9400000000000004","4.5199999999999996","4.3600000000000003","4.7000000000000002","4.9800000000000004","4.4800000000000004","4.8099999999999996","4.6399999999999997","4.7199999999999998"
"E12000001","North East","E06000057","Northumberland",":",":",":",":",":",":","6.21","5.4400000000000004","5.5700000000000003","5.2300000000000004","5.4299999999999997","5.2599999999999998","5.6200000000000001","5.9000000000000004","5.5700000000000003","5.5300000000000002","5.46"
