"Contents","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21"
"Table 5a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Median house price (existing dwellings) by local authority district, England and Wales, year ending September 2002 to year ending September 2018 (£)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Region code","Region name","Local authority code","Local authority name","Year ending Sep 2002","Year ending Sep 2003","Year ending Sep 2004","Year ending Sep 2005","Year ending Sep 2006","Year ending Sep 2007","Year ending Sep 2008","Year ending Sep 2009","Year ending Sep 2010","Year ending Sep 2011","Year ending Sep 2012","Year ending Sep 2013","Year ending Sep 2014","Year ending Sep 2015","Year ending Sep 2016","Year ending Sep 2017","Year ending Sep 2018"
"E12000001","North East","E06000047","County Durham","45500","54500","73000","85000","92500","98955","100000","95000","102000","93675","93000","95000","100000","99622","100000","102500","105000"
"E12000001","North East","E06000005","Darlington","55000","65000","89500","100000","109950","120000","119000","117500","123000","119000","118000","115000","120000","123000","127500","130600","129000"
"E12000001","North East","E06000001","Hartlepool","43950","45000","50000","57500","82000","97500","102000","90000","100000","98000","95000","109000","103000","110000","110000","112500","110000"
"E12000001","North East","E06000002","Middlesbrough","45500","45000","60000","70000","92375","102000","95000","102000","104975","93000","99000","102000","113250","110000","120000","112000","120000"
"E12000001","North East","E06000057","Northumberland","63000","79950","101000","115000","129400","135000","140000","130000","140000","131150","133000","132000","140000","148200","147250","150000","150000"
